 Wed May 02 11:09:07 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Alaska (PST) SNOTEL Site COLDFOOT
Site Id,Date,Time,SNWD.I-1 (in) ,
958,2010-01-01,,      10,
958,2010-01-02,,      10,
958,2010-01-03,,      10,
958,2010-01-04,,      10,
958,2010-01-05,,      10,
958,2010-01-06,,      12,
958,2010-01-07,,      12,
958,2010-01-08,,      12,
958,2010-01-09,,      12,
958,2010-01-10,,      12,
958,2010-01-11,,      12,
958,2010-01-12,,      12,
958,2010-01-13,,      12,
958,2010-01-14,,      12,
958,2010-01-15,,      12,
958,2010-01-16,,      12,
958,2010-01-17,,      12,
958,2010-01-18,,      12,
958,2010-01-19,,      11,
958,2010-01-20,,      11,
958,2010-01-21,,      11,
958,2010-01-22,,      11,
958,2010-01-23,,      11,
958,2010-01-24,,      11,
958,2010-01-25,,      11,
958,2010-01-26,,      11,
958,2010-01-27,,      11,
958,2010-01-28,,      11,
958,2010-01-29,,      11,
958,2010-01-30,,      11,
958,2010-01-31,,      11,
958,2010-02-01,,      11,
958,2010-02-02,,      11,
958,2010-02-03,,      11,
958,2010-02-04,,      11,
958,2010-02-05,,      11,
958,2010-02-06,,      11,
958,2010-02-07,,      12,
958,2010-02-08,,      14,
958,2010-02-09,,      13,
958,2010-02-10,,      13,
958,2010-02-11,,      13,
958,2010-02-12,,      13,
958,2010-02-13,,      13,
958,2010-02-14,,      13,
958,2010-02-15,,      13,
958,2010-02-16,,      12,
958,2010-02-17,,      12,
958,2010-02-18,,      12,
958,2010-02-19,,      12,
958,2010-02-20,,      12,
958,2010-02-21,,      12,
958,2010-02-22,,      13,
958,2010-02-23,,      13,
958,2010-02-24,,      14,
958,2010-02-25,,      14,
958,2010-02-26,,      14,
958,2010-02-27,,      14,
958,2010-02-28,,      14,
958,2010-03-01,,      14,
958,2010-03-02,,      14,
958,2010-03-03,,      14,
958,2010-03-04,,      14,
958,2010-03-05,,      14,
958,2010-03-06,,      14,
958,2010-03-07,,      14,
958,2010-03-08,,      16,
958,2010-03-09,,      16,
958,2010-03-10,,      17,
958,2010-03-11,,      17,
958,2010-03-12,,      17,
958,2010-03-13,,      18,
958,2010-03-14,,      18,
958,2010-03-15,,      17,
958,2010-03-16,,      17,
958,2010-03-17,,      17,
958,2010-03-18,,      17,
958,2010-03-19,,      17,
958,2010-03-20,,      17,
958,2010-03-21,,      17,
958,2010-03-22,,      17,
958,2010-03-23,,      17,
958,2010-03-24,,      17,
958,2010-03-25,,      17,
958,2010-03-26,,      17,
958,2010-03-27,,      17,
958,2010-03-28,,      16,
958,2010-03-29,,      16,
958,2010-03-30,,      16,
958,2010-03-31,,      16,
958,2010-04-01,,      15,
958,2010-04-02,,      15,
958,2010-04-03,,      15,
958,2010-04-04,,      15,
958,2010-04-05,,      15,
958,2010-04-06,,      15,
958,2010-04-07,,      15,
958,2010-04-08,,      15,
958,2010-04-09,,      15,
958,2010-04-10,,      15,
958,2010-04-11,,      15,
958,2010-04-12,,      16,
958,2010-04-13,,      18,
958,2010-04-14,,      21,
958,2010-04-15,,      22,
958,2010-04-16,,      22,
958,2010-04-17,,      21,
958,2010-04-18,,      20,
958,2010-04-19,,      18,
958,2010-04-20,,      17,
958,2010-04-21,,      15,
958,2010-04-22,,      14,
958,2010-04-23,,      13,
958,2010-04-24,,      12,
958,2010-04-25,,      12,
958,2010-04-26,,      11,
958,2010-04-27,,      10,
958,2010-04-28,,       7,
958,2010-04-29,,       4,
958,2010-04-30,,       1,
958,2010-05-01,,       0,
958,2010-05-02,,       0,
958,2010-05-03,,       0,
958,2010-05-04,,       0,
958,2010-05-05,,       0,
958,2010-05-06,,       0,
958,2010-05-07,,       0,
958,2010-05-08,,       0,
958,2010-05-09,,       0,
958,2010-05-10,,       0,
958,2010-05-11,,       0,
958,2010-05-12,,       0,
958,2010-05-13,,       0,
958,2010-05-14,,       0,
958,2010-05-15,,       0,
958,2010-05-16,,       0,
958,2010-05-17,,       0,
958,2010-05-18,,       0,
958,2010-05-19,,       0,
958,2010-05-20,,       0,
958,2010-05-21,,       0,
958,2010-05-22,,       0,
958,2010-05-23,,       0,
958,2010-05-24,,       0,
958,2010-05-25,,       0,
958,2010-05-26,,       0,
958,2010-05-27,,       0,
958,2010-05-28,,       0,
958,2010-05-29,,       0,
958,2010-05-30,,       0,
958,2010-05-31,,       0,
958,2010-06-01,,       0,
958,2010-06-02,,       0,
958,2010-06-03,,       0,
958,2010-06-04,,       0,
958,2010-06-05,,       0,
958,2010-06-06,,       0,
958,2010-06-07,,       0,
958,2010-06-08,,       0,
958,2010-06-09,,       0,
958,2010-06-10,,       0,
958,2010-06-11,,       0,
958,2010-06-12,,       0,
958,2010-06-13,,       0,
958,2010-06-14,,       0,
958,2010-06-15,,       0,
958,2010-06-16,,       0,
958,2010-06-17,,       0,
958,2010-06-18,,       0,
958,2010-06-19,,       0,
958,2010-06-20,,       0,
958,2010-06-21,,       0,
958,2010-06-22,,       0,
958,2010-06-23,,       0,
958,2010-06-24,,       0,
958,2010-06-25,,       0,
958,2010-06-26,,       0,
958,2010-06-27,,       0,
958,2010-06-28,,       0,
958,2010-06-29,,       0,
958,2010-06-30,,       0,
958,2010-07-01,,       0,
958,2010-07-02,,       0,
958,2010-07-03,,       0,
958,2010-07-04,,       0,
958,2010-07-05,,       0,
958,2010-07-06,,       0,
958,2010-07-07,,       0,
958,2010-07-08,,       0,
958,2010-07-09,,       0,
958,2010-07-10,,       0,
958,2010-07-11,,       0,
958,2010-07-12,,       0,
958,2010-07-13,,       0,
958,2010-07-14,,       0,
958,2010-07-15,,       0,
958,2010-07-16,,       0,
958,2010-07-17,,       0,
958,2010-07-18,,       0,
958,2010-07-19,,       0,
958,2010-07-20,,       0,
958,2010-07-21,,       0,
958,2010-07-22,,       0,
958,2010-07-23,,       0,
958,2010-07-24,,       0,
958,2010-07-25,,       0,
958,2010-07-26,,       0,
958,2010-07-27,,       0,
958,2010-07-28,,       0,
958,2010-07-29,,       0,
958,2010-07-30,,       0,
958,2010-07-31,,       0,
958,2010-08-01,,       0,
958,2010-08-02,,       0,
958,2010-08-03,,       0,
958,2010-08-04,,       0,
958,2010-08-05,,       0,
958,2010-08-06,,       0,
958,2010-08-07,,       0,
958,2010-08-08,,       0,
958,2010-08-09,,       0,
958,2010-08-10,,       0,
958,2010-08-11,,       0,
958,2010-08-12,,       0,
