 %Wed May 02 11:10:32 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Idaho (PST) SNOTEL Site ISLAND PARK,,,,
%Site Id,Year,DOY,SNWD.I-1 (in) ,SNWD.I-1 (m) 
546,2010,1,28,0.7112
546,2010,2,27,0.6858
546,2010,3,26,0.6604
546,2010,4,25,0.635
546,2010,5,25,0.635
546,2010,6,28,0.7112
546,2010,7,29,0.7366
546,2010,8,27,0.6858
546,2010,9,27,0.6858
546,2010,10,26,0.6604
546,2010,11,26,0.6604
546,2010,12,25,0.635
546,2010,13,24,0.6096
546,2010,14,23,0.5842
546,2010,15,24,0.6096
546,2010,16,23,0.5842
546,2010,17,23,0.5842
546,2010,18,24,0.6096
546,2010,19,23,0.5842
546,2010,20,27,0.6858
546,2010,21,27,0.6858
546,2010,22,30,0.762
546,2010,23,38,0.9652
546,2010,24,38,0.9652
546,2010,25,37,0.9398
546,2010,26,37,0.9398
546,2010,27,38,0.9652
546,2010,28,36,0.9144
546,2010,29,35,0.889
546,2010,30,34,0.8636
546,2010,31,32,0.8128
546,2010,32,36,0.9144
546,2010,33,35,0.889
546,2010,34,35,0.889
546,2010,35,35,0.889
546,2010,36,35,0.889
546,2010,37,37,0.9398
546,2010,38,37,0.9398
546,2010,39,35,0.889
546,2010,40,36,0.9144
546,2010,41,34,0.8636
546,2010,42,36,0.9144
546,2010,43,37,0.9398
546,2010,44,38,0.9652
546,2010,45,37,0.9398
546,2010,46,36,0.9144
546,2010,47,35,0.889
546,2010,48,34,0.8636
546,2010,49,34,0.8636
546,2010,50,34,0.8636
546,2010,51,35,0.889
546,2010,52,34,0.8636
546,2010,53,34,0.8636
546,2010,54,35,0.889
546,2010,55,35,0.889
546,2010,56,33,0.8382
546,2010,57,36,0.9144
546,2010,58,35,0.889
546,2010,59,33,0.8382
546,2010,60,33,0.8382
546,2010,61,33,0.8382
546,2010,62,33,0.8382
546,2010,63,33,0.8382
546,2010,64,32,0.8128
546,2010,65,32,0.8128
546,2010,66,32,0.8128
546,2010,67,32,0.8128
546,2010,68,30,0.762
546,2010,69,30,0.762
546,2010,70,32,0.8128
546,2010,71,32,0.8128
546,2010,72,32,0.8128
546,2010,73,31,0.7874
546,2010,74,31,0.7874
546,2010,75,30,0.762
546,2010,76,30,0.762
546,2010,77,28,0.7112
546,2010,78,28,0.7112
546,2010,79,28,0.7112
546,2010,80,28,0.7112
546,2010,81,26,0.6604
546,2010,82,26,0.6604
546,2010,83,26,0.6604
546,2010,84,25,0.635
546,2010,85,27,0.6858
546,2010,86,24,0.6096
546,2010,87,26,0.6604
546,2010,88,23,0.5842
546,2010,89,25,0.635
546,2010,90,25,0.635
546,2010,91,24,0.6096
546,2010,92,25,0.635
546,2010,93,30,0.762
546,2010,94,30,0.762
546,2010,95,30,0.762
546,2010,96,30,0.762
546,2010,97,31,0.7874
546,2010,98,31,0.7874
546,2010,99,29,0.7366
546,2010,100,29,0.7366
546,2010,101,27,0.6858
546,2010,102,26,0.6604
546,2010,103,23,0.5842
546,2010,104,27,0.6858
546,2010,105,25,0.635
546,2010,106,24,0.6096
546,2010,107,21,0.5334
546,2010,108,20,0.508
546,2010,109,18,0.4572
546,2010,110,17,0.4318
546,2010,111,14,0.3556
546,2010,112,12,0.3048
546,2010,113,12,0.3048
546,2010,114,10,0.254
546,2010,115,9,0.2286
546,2010,116,8,0.2032
546,2010,117,7,0.1778
546,2010,118,5,0.127
546,2010,119,9,0.2286
546,2010,120,9,0.2286
546,2010,121,7,0.1778
546,2010,122,8,0.2032
546,2010,123,7,0.1778
546,2010,124,6,0.1524
546,2010,125,5,0.127
546,2010,126,4,0.1016
546,2010,127,4,0.1016
546,2010,128,3,0.0762
546,2010,129,2,0.0508
546,2010,130,1,0.0254
546,2010,131,0,0
546,2010,132,0,0
546,2010,133,0,0
546,2010,134,0,0
546,2010,135,0,0
546,2010,136,0,0
546,2010,137,0,0
546,2010,138,0,0
546,2010,139,0,0
546,2010,140,0,0
546,2010,141,0,0
546,2010,142,0,0
546,2010,143,0,0
546,2010,144,0,0
546,2010,145,0,0
546,2010,146,0,0
546,2010,147,0,0
546,2010,148,0,0
546,2010,149,0,0
546,2010,150,0,0
546,2010,151,0,0
546,2010,152,0,0
546,2010,153,0,0
546,2010,154,0,0
546,2010,155,0,0
546,2010,156,0,0
546,2010,157,0,0
546,2010,158,0,0
546,2010,159,0,0
546,2010,160,0,0
546,2010,161,0,0
546,2010,162,0,0
546,2010,163,0,0
546,2010,164,0,0
546,2010,165,0,0
546,2010,166,0,0
546,2010,167,0,0
546,2010,168,0,0
546,2010,169,0,0
546,2010,170,0,0
546,2010,171,0,0
546,2010,172,0,0
546,2010,173,0,0
546,2010,174,0,0
546,2010,175,0,0
546,2010,176,0,0
546,2010,177,0,0
546,2010,178,0,0
546,2010,179,0,0
546,2010,180,0,0
546,2010,181,0,0
546,2010,182,0,0
546,2010,183,0,0
546,2010,184,0,0
546,2010,185,0,0
546,2010,186,0,0
546,2010,187,0,0
546,2010,188,0,0
546,2010,189,0,0
546,2010,190,0,0
546,2010,191,0,0
546,2010,192,0,0
546,2010,193,0,0
546,2010,194,0,0
546,2010,195,0,0
546,2010,196,0,0
546,2010,197,0,0
546,2010,198,0,0
546,2010,199,0,0
546,2010,200,0,0
546,2010,201,0,0
546,2010,202,0,0
546,2010,203,0,0
546,2010,204,0,0
546,2010,205,0,0
546,2010,206,0,0
546,2010,207,0,0
546,2010,208,0,0
546,2010,209,0,0
546,2010,210,0,0
546,2010,211,0,0
546,2010,212,0,0
546,2010,213,0,0
546,2010,214,0,0
546,2010,215,0,0
546,2010,216,0,0
546,2010,217,0,0
546,2010,218,0,0
546,2010,219,0,0
546,2010,220,0,0
546,2010,221,0,0
546,2010,222,0,0
546,2010,223,0,0
546,2010,224,0,0
546,2010,225,0,0
546,2010,226,0,0
546,2010,227,0,0
546,2010,228,0,0
546,2010,229,0,0
546,2010,230,0,0
546,2010,231,0,0
546,2010,232,0,0
546,2010,233,0,0
546,2010,234,0,0
546,2010,235,0,0
546,2010,236,0,0
546,2010,237,0,0
546,2010,238,0,0
546,2010,239,0,0
546,2010,240,0,0
546,2010,241,0,0
546,2010,242,0,0
546,2010,243,0,0
546,2010,244,0,0
546,2010,245,0,0
546,2010,246,0,0
546,2010,247,0,0
546,2010,248,0,0
546,2010,249,0,0
546,2010,250,0,0
546,2010,251,0,0
546,2010,252,0,0
546,2010,253,0,0
546,2010,254,0,0
546,2010,255,0,0
546,2010,256,0,0
546,2010,257,0,0
546,2010,258,0,0
546,2010,259,0,0
546,2010,260,0,0
546,2010,261,0,0
546,2010,262,0,0
546,2010,263,0,0
546,2010,264,0,0
546,2010,265,0,0
546,2010,266,0,0
546,2010,267,0,0
546,2010,268,0,0
546,2010,269,0,0
546,2010,270,0,0
546,2010,271,0,0
546,2010,272,0,0
546,2010,273,0,0
546,2010,274,0,0
546,2010,275,0,0
546,2010,276,0,0
546,2010,277,0,0
546,2010,278,0,0
546,2010,279,0,0
546,2010,280,0,0
546,2010,281,0,0
546,2010,282,0,0
546,2010,283,0,0
546,2010,284,0,0
546,2010,285,0,0
546,2010,286,0,0
546,2010,287,0,0
546,2010,288,0,0
546,2010,289,0,0
546,2010,290,0,0
546,2010,291,0,0
546,2010,292,0,0
546,2010,293,0,0
546,2010,294,0,0
546,2010,295,0,0
546,2010,296,0,0
546,2010,297,0,0
546,2010,298,0,0
546,2010,299,0,0
546,2010,300,0,0
546,2010,301,0,0
546,2010,302,0,0
546,2010,303,0,0
546,2010,304,0,0
546,2010,305,0,0
546,2010,306,0,0
546,2010,307,0,0
546,2010,308,0,0
546,2010,309,0,0
546,2010,310,0,0
546,2010,311,0,0
546,2010,312,0,0
546,2010,313,4,0.1016
546,2010,314,3,0.0762
546,2010,315,3,0.0762
546,2010,316,4,0.1016
546,2010,317,4,0.1016
546,2010,318,4,0.1016
546,2010,319,6,0.1524
546,2010,320,9,0.2286
546,2010,321,8,0.2032
546,2010,322,7,0.1778
546,2010,323,5,0.127
546,2010,324,10,0.254
546,2010,325,18,0.4572
546,2010,326,19,0.4826
546,2010,327,23,0.5842
546,2010,328,30,0.762
546,2010,329,27,0.6858
