% Wed May 02 11:10:47 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Idaho (PST) SNOTEL Site ISLAND PARK,,,,
%Site Id,Year,DOY,SNWD.I-1 (in) ,SNWD.I-1 (m) 
546,2011,1,41,1.0414
546,2011,2,40,1.016
546,2011,3,39,0.9906
546,2011,4,40,1.016
546,2011,5,41,1.0414
546,2011,6,40,1.016
546,2011,7,39,0.9906
546,2011,8,38,0.9652
546,2011,9,37,0.9398
546,2011,10,37,0.9398
546,2011,11,37,0.9398
546,2011,12,36,0.9144
546,2011,13,37,0.9398
546,2011,14,40,1.016
546,2011,15,40,1.016
546,2011,16,38,0.9652
546,2011,17,45,1.143
546,2011,18,46,1.1684
546,2011,19,44,1.1176
546,2011,20,43,1.0922
546,2011,21,46,1.1684
546,2011,22,48,1.2192
546,2011,23,48,1.2192
546,2011,24,48,1.2192
546,2011,25,47,1.1938
546,2011,26,47,1.1938
546,2011,27,47,1.1938
546,2011,28,44,1.1176
546,2011,29,44,1.1176
546,2011,30,43,1.0922
546,2011,31,42,1.0668
546,2011,32,42,1.0668
546,2011,33,42,1.0668
546,2011,34,41,1.0414
546,2011,35,41,1.0414
546,2011,36,43,1.0922
546,2011,37,44,1.1176
546,2011,38,47,1.1938
546,2011,39,48,1.2192
546,2011,40,47,1.1938
546,2011,41,47,1.1938
546,2011,42,47,1.1938
546,2011,43,47,1.1938
546,2011,44,45,1.143
546,2011,45,44,1.1176
546,2011,46,43,1.0922
546,2011,47,41,1.0414
546,2011,48,46,1.1684
546,2011,49,48,1.2192
546,2011,50,48,1.2192
546,2011,51,48,1.2192
546,2011,52,51,1.2954
546,2011,53,51,1.2954
546,2011,54,56,1.4224
546,2011,55,55,1.397
546,2011,56,55,1.397
546,2011,57,57,1.4478
546,2011,58,56,1.4224
546,2011,59,56,1.4224
546,2011,60,56,1.4224
546,2011,61,50,1.27
546,2011,62,49,1.2446
546,2011,63,49,1.2446
546,2011,64,48,1.2192
546,2011,65,49,1.2446
546,2011,66,50,1.27
546,2011,67,49,1.2446
546,2011,68,49,1.2446
546,2011,69,50,1.27
546,2011,70,48,1.2192
546,2011,71,48,1.2192
546,2011,72,48,1.2192
546,2011,73,47,1.1938
546,2011,74,49,1.2446
546,2011,75,52,1.3208
546,2011,76,51,1.2954
546,2011,77,52,1.3208
546,2011,78,53,1.3462
546,2011,79,53,1.3462
546,2011,80,51,1.2954
546,2011,81,54,1.3716
546,2011,82,55,1.397
546,2011,83,54,1.3716
546,2011,84,52,1.3208
546,2011,85,54,1.3716
546,2011,86,54,1.3716
546,2011,87,58,1.4732
546,2011,88,59,1.4986
546,2011,89,60,1.524
546,2011,90,59,1.4986
546,2011,91,56,1.4224
546,2011,92,54,1.3716
546,2011,93,52,1.3208
546,2011,94,52,1.3208
546,2011,95,51,1.2954
546,2011,96,51,1.2954
546,2011,97,57,1.4478
546,2011,98,56,1.4224
546,2011,99,55,1.397
546,2011,100,55,1.397
546,2011,101,53,1.3462
546,2011,102,52,1.3208
546,2011,103,51,1.2954
546,2011,104,49,1.2446
546,2011,105,49,1.2446
546,2011,106,51,1.2954
546,2011,107,47,1.1938
546,2011,108,46,1.1684
546,2011,109,44,1.1176
546,2011,110,41,1.0414
546,2011,111,41,1.0414
546,2011,112,46,1.1684
546,2011,113,44,1.1176
546,2011,114,44,1.1176
546,2011,115,41,1.0414
546,2011,116,45,1.143
546,2011,117,44,1.1176
546,2011,118,44,1.1176
546,2011,119,43,1.0922
546,2011,120,43,1.0922
546,2011,121,41,1.0414
546,2011,122,39,0.9906
546,2011,123,37,0.9398
546,2011,124,36,0.9144
546,2011,125,34,0.8636
546,2011,126,32,0.8128
546,2011,127,30,0.762
546,2011,128,28,0.7112
546,2011,129,28,0.7112
546,2011,130,26,0.6604
546,2011,131,24,0.6096
546,2011,132,23,0.5842
546,2011,133,21,0.5334
546,2011,134,17,0.4318
546,2011,135,13,0.3302
546,2011,136,10,0.254
546,2011,137,9,0.2286
546,2011,138,8,0.2032
546,2011,139,6,0.1524
546,2011,140,4,0.1016
546,2011,141,2,0.0508
546,2011,142,0,0
546,2011,143,0,0
546,2011,144,0,0
546,2011,145,0,0
546,2011,146,0,0
546,2011,147,0,0
546,2011,148,0,0
546,2011,149,0,0
546,2011,150,0,0
546,2011,151,0,0
546,2011,152,0,0
546,2011,153,0,0
546,2011,154,0,0
546,2011,155,0,0
546,2011,156,0,0
546,2011,157,0,0
546,2011,158,0,0
546,2011,159,0,0
546,2011,160,0,0
546,2011,161,0,0
546,2011,162,0,0
546,2011,163,0,0
546,2011,164,0,0
546,2011,165,0,0
546,2011,166,0,0
546,2011,167,0,0
546,2011,168,0,0
546,2011,169,0,0
546,2011,170,0,0
546,2011,171,0,0
546,2011,172,0,0
546,2011,173,0,0
546,2011,174,0,0
546,2011,175,0,0
546,2011,176,0,0
546,2011,177,0,0
546,2011,178,0,0
546,2011,179,0,0
546,2011,180,0,0
546,2011,181,0,0
546,2011,182,0,0
546,2011,183,0,0
546,2011,184,0,0
546,2011,185,0,0
546,2011,186,0,0
546,2011,187,0,0
546,2011,188,0,0
546,2011,189,0,0
546,2011,190,0,0
546,2011,191,0,0
546,2011,192,0,0
546,2011,193,0,0
546,2011,194,0,0
546,2011,195,0,0
546,2011,196,0,0
546,2011,197,0,0
546,2011,198,0,0
546,2011,199,0,0
546,2011,200,0,0
546,2011,201,0,0
546,2011,202,0,0
546,2011,203,0,0
