 Wed May 02 11:10:59 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Idaho (PST) SNOTEL Site ISLAND PARK
Site Id,Date,Time,SNWD.I-1 (in) ,
546,2012-01-01,,      22,
546,2012-01-02,,      22,
546,2012-01-03,,      21,
546,2012-01-04,,      22,
546,2012-01-05,,      21,
546,2012-01-06,,      21,
546,2012-01-07,,      21,
546,2012-01-08,,      21,
546,2012-01-09,,      20,
546,2012-01-10,,      20,
546,2012-01-11,,      20,
546,2012-01-12,,      21,
546,2012-01-13,,      21,
546,2012-01-14,,      21,
546,2012-01-15,,      21,
546,2012-01-16,,      22,
546,2012-01-17,,      26,
546,2012-01-18,,      25,
546,2012-01-19,,      28,
546,2012-01-20,,      28,
546,2012-01-21,,      31,
546,2012-01-22,,      36,
546,2012-01-23,,      34,
546,2012-01-24,,      37,
546,2012-01-25,,      36,
546,2012-01-26,,      35,
546,2012-01-27,,      40,
546,2012-01-28,,      39,
546,2012-01-29,,      41,
546,2012-01-30,,      39,
546,2012-01-31,,      38,
546,2012-02-01,,      38,
546,2012-02-02,,      37,
546,2012-02-03,,      37,
546,2012-02-04,,      37,
546,2012-02-05,,      36,
546,2012-02-06,,      36,
546,2012-02-07,,      35,
546,2012-02-08,,      35,
546,2012-02-09,,      34,
546,2012-02-10,,      34,
546,2012-02-11,,      35,
546,2012-02-12,,      37,
546,2012-02-13,,      37,
546,2012-02-14,,      36,
546,2012-02-15,,      37,
546,2012-02-16,,      38,
546,2012-02-17,,      37,
546,2012-02-18,,      37,
546,2012-02-19,,      43,
546,2012-02-20,,      42,
546,2012-02-21,,      44,
546,2012-02-22,,      46,
546,2012-02-23,,      44,
546,2012-02-24,,      44,
546,2012-02-25,,      42,
546,2012-02-26,,      46,
546,2012-02-27,,      44,
546,2012-02-28,,      44,
546,2012-02-29,,      44,
546,2012-03-01,,      53,
546,2012-03-02,,      53,
546,2012-03-03,,      50,
546,2012-03-04,,      52,
546,2012-03-05,,      49,
546,2012-03-06,,      47,
546,2012-03-07,,      52,
546,2012-03-08,,      50,
546,2012-03-09,,      49,
546,2012-03-10,,      47,
546,2012-03-11,,      45,
546,2012-03-12,,      45,
546,2012-03-13,,      43,
546,2012-03-14,,      42,
546,2012-03-15,,      43,
546,2012-03-16,,      41,
546,2012-03-17,,      41,
546,2012-03-18,,      43,
546,2012-03-19,,      45,
546,2012-03-20,,      44,
546,2012-03-21,,      45,
546,2012-03-22,,      43,
546,2012-03-23,,      41,
546,2012-03-24,,      40,
546,2012-03-25,,      39,
546,2012-03-26,,      37,
546,2012-03-27,,      37,
546,2012-03-28,,      36,
546,2012-03-29,,      35,
546,2012-03-30,,      36,
546,2012-03-31,,      34,
546,2012-04-01,,      33,
546,2012-04-02,,      34,
546,2012-04-03,,      32,
546,2012-04-04,,      31,
546,2012-04-05,,      29,
546,2012-04-06,,      27,
546,2012-04-07,,      40,
546,2012-04-08,,      36,
546,2012-04-09,,      32,
546,2012-04-10,,      29,
546,2012-04-11,,      28,
546,2012-04-12,,      25,
546,2012-04-13,,      25,
546,2012-04-14,,      25,
546,2012-04-15,,      24,
546,2012-04-16,,      23,
546,2012-04-17,,      22,
546,2012-04-18,,      20,
546,2012-04-19,,      19,
546,2012-04-20,,      18,
546,2012-04-21,,      16,
546,2012-04-22,,      14,
546,2012-04-23,,      12,
546,2012-04-24,,       8,
546,2012-04-25,,       3,
546,2012-04-26,,       0,
546,2012-04-27,,       0,
546,2012-04-28,,       0,
546,2012-04-29,,       0,
546,2012-04-30,,       0,
546,2012-05-01,,       0,
546,2012-05-02,,       0,




