 %Wed May 02 11:23:10 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Montana (PST) SNOTEL Site BEAGLE SPRINGS,,,,
%Site Id,Year,DOY,SNWD.I-1 (in) ,SNWD.I-1 (m) 
318,2012,1,19,0.4826
318,2012,2,18,0.4572
318,2012,3,17,0.4318
318,2012,4,17,0.4318
318,2012,5,17,0.4318
318,2012,6,17,0.4318
318,2012,7,17,0.4318
318,2012,8,17,0.4318
318,2012,9,17,0.4318
318,2012,10,16,0.4064
318,2012,11,17,0.4318
318,2012,12,17,0.4318
318,2012,13,17,0.4318
318,2012,14,17,0.4318
318,2012,15,17,0.4318
318,2012,16,17,0.4318
318,2012,17,17,0.4318
318,2012,18,17,0.4318
318,2012,19,18,0.4572
318,2012,20,18,0.4572
318,2012,21,19,0.4826
318,2012,22,21,0.5334
318,2012,23,21,0.5334
318,2012,24,22,0.5588
318,2012,25,21,0.5334
318,2012,26,21,0.5334
318,2012,27,21,0.5334
318,2012,28,21,0.5334
318,2012,29,20,0.508
318,2012,30,20,0.508
318,2012,31,20,0.508
318,2012,32,20,0.508
318,2012,33,21,0.5334
318,2012,34,23,0.5842
318,2012,35,23,0.5842
318,2012,36,22,0.5588
318,2012,37,22,0.5588
318,2012,38,22,0.5588
318,2012,39,21,0.5334
318,2012,40,21,0.5334
318,2012,41,21,0.5334
318,2012,42,21,0.5334
318,2012,43,22,0.5588
318,2012,44,22,0.5588
318,2012,45,22,0.5588
318,2012,46,24,0.6096
318,2012,47,25,0.635
318,2012,48,24,0.6096
318,2012,49,24,0.6096
318,2012,50,25,0.635
318,2012,51,25,0.635
318,2012,52,25,0.635
318,2012,53,24,0.6096
318,2012,54,26,0.6604
318,2012,55,25,0.635
318,2012,56,25,0.635
318,2012,57,32,0.8128
318,2012,58,31,0.7874
318,2012,59,29,0.7366
318,2012,60,28,0.7112
318,2012,61,31,0.7874
318,2012,62,30,0.762
318,2012,63,30,0.762
318,2012,64,29,0.7366
318,2012,65,29,0.7366
318,2012,66,28,0.7112
318,2012,67,33,0.8382
318,2012,68,31,0.7874
318,2012,69,30,0.762
318,2012,70,28,0.7112
318,2012,71,27,0.6858
318,2012,72,28,0.7112
318,2012,73,28,0.7112
318,2012,74,28,0.7112
318,2012,75,29,0.7366
318,2012,76,28,0.7112
318,2012,77,30,0.762
318,2012,78,38,0.9652
318,2012,79,40,1.016
318,2012,80,41,1.0414
318,2012,81,39,0.9906
318,2012,82,36,0.9144
318,2012,83,34,0.8636
318,2012,84,33,0.8382
318,2012,85,31,0.7874
318,2012,86,31,0.7874
318,2012,87,34,0.8636
318,2012,88,32,0.8128
318,2012,89,33,0.8382
318,2012,90,32,0.8128
318,2012,91,32,0.8128
318,2012,92,31,0.7874
318,2012,93,32,0.8128
318,2012,94,31,0.7874
318,2012,95,30,0.762
318,2012,96,30,0.762
318,2012,97,31,0.7874
318,2012,98,35,0.889
318,2012,99,33,0.8382
318,2012,100,30,0.762
318,2012,101,29,0.7366
318,2012,102,28,0.7112
318,2012,103,29,0.7366
318,2012,104,27,0.6858
318,2012,105,27,0.6858
318,2012,106,26,0.6604
318,2012,107,26,0.6604
318,2012,108,24,0.6096
318,2012,109,23,0.5842
318,2012,110,24,0.6096
318,2012,111,23,0.5842
318,2012,112,21,0.5334
318,2012,113,19,0.4826
318,2012,114,18,0.4572
318,2012,115,16,0.4064
318,2012,116,14,0.3556
318,2012,117,11,0.2794
318,2012,118,10,0.254
318,2012,119,13,0.3302
318,2012,120,12,0.3048
318,2012,121,10,0.254
318,2012,122,10,0.254
318,2012,123,9,0.2286
