 Wed May 02 11:23:10 PDT 2012  NRCS National Water and Climate Center - Provisional Data - subject to revision Montana (PST) SNOTEL Site BEAGLE SPRINGS
Site Id,Date,Time,WTEQ.I-1 (in) ,PREC.I-1 (in) ,TOBS.I-1 (degC) ,TMAX.D-1 (degC) ,TMIN.D-1 (degC) ,TAVG.D-1 (degC) ,SNWD.I-1 (in) ,
318,2012-01-01,,     3.1,     6.1,    -9.7,    -7.3,   -13.6,   -11.4,      19,
318,2012-01-02,,     3.1,     6.1,    -0.3,     1.7,   -10.2,    -2.9,      18,
318,2012-01-03,,     3.1,     6.1,     1.5,     8.1,    -1.3,     2.6,      17,
318,2012-01-04,,     3.1,     6.1,     0.5,     3.1,    -3.6,    -0.1,      17,
318,2012-01-05,,     3.1,     6.1,     3.9,     9.6,    -0.6,     4.0,      17,
318,2012-01-06,,     3.1,     6.1,    -5.7,     5.3,    -6.2,     1.1,      17,
318,2012-01-07,,     3.0,     6.1,    -5.9,    -3.2,   -12.5,    -7.1,      17,
318,2012-01-08,,     3.0,     6.1,    -6.4,    -3.6,   -11.9,    -7.9,      17,
318,2012-01-09,,     3.1,     6.1,    -2.4,     1.1,    -6.5,    -2.1,      17,
318,2012-01-10,,     3.1,     6.1,     1.1,     5.8,    -3.2,     0.4,      16,
318,2012-01-11,,     3.2,     6.2,   -11.9,     2.2,   -11.9,    -3.6,      17,
318,2012-01-12,,     3.2,     6.2,    -9.6,    -6.7,   -19.1,   -12.2,      17,
318,2012-01-13,,     3.2,     6.2,    -2.3,    -0.5,    -9.3,    -5.3,      17,
318,2012-01-14,,     3.2,     6.2,    -1.1,     2.1,    -4.5,    -1.7,      17,
318,2012-01-15,,     3.2,     6.2,    -2.6,     3.6,    -4.3,    -0.2,      17,
318,2012-01-16,,     3.2,     6.2,   -13.6,    -1.6,   -13.6,    -6.1,      17,
318,2012-01-17,,     3.2,     6.2,   -18.8,   -13.5,   -19.7,   -16.8,      17,
318,2012-01-18,,     3.2,     6.2,   -10.9,   -10.8,   -19.1,   -14.4,      17,
318,2012-01-19,,     3.3,     6.3,    -2.3,    -1.7,   -10.9,    -5.6,      18,
318,2012-01-20,,     3.4,     6.4,    -1.2,     1.4,    -2.9,    -1.2,      18,
318,2012-01-21,,     3.5,     6.4,    -0.9,    -0.2,    -3.7,    -2.1,      19,
318,2012-01-22,,     3.7,     6.5,   -10.2,     1.6,   -10.3,    -2.7,      21,
318,2012-01-23,,     3.7,     6.5,    -5.9,    -4.2,   -11.5,    -8.4,      21,
318,2012-01-24,,     3.8,     6.6,   -12.5,    -1.4,   -12.7,    -8.0,      22,
318,2012-01-25,,     3.9,     6.7,     0.4,     0.4,   -13.1,    -6.2,      21,
318,2012-01-26,,     3.9,     6.7,    -4.0,     1.2,    -4.5,    -1.0,      21,
318,2012-01-27,,     3.9,     6.7,   -11.6,    -0.3,   -11.6,    -4.3,      21,
318,2012-01-28,,     3.9,     6.7,   -10.0,    -8.0,   -16.3,   -11.4,      21,
318,2012-01-29,,     3.9,     6.7,    -1.5,    -0.7,   -11.9,    -4.6,      20,
318,2012-01-30,,     3.9,     6.7,    -0.1,     3.7,    -2.0,     0.5,      20,
318,2012-01-31,,     3.9,     6.7,    -7.6,    -0.1,    -9.0,    -4.0,      20,
318,2012-02-01,,     3.9,     6.7,    -7.1,     1.2,    -9.9,    -6.2,      20,
318,2012-02-02,,     4.0,     6.8,    -6.1,     1.3,    -7.7,    -3.8,      21,
318,2012-02-03,,     4.1,     6.9,    -8.7,    -4.2,    -8.7,    -7.0,      23,
318,2012-02-04,,     4.1,     6.9,    -9.8,    -2.3,   -11.6,    -8.8,      23,
318,2012-02-05,,     4.1,     6.9,    -8.6,     1.4,   -10.9,    -6.8,      22,
318,2012-02-06,,     4.1,     6.9,    -9.0,     2.0,    -9.7,    -6.0,      22,
318,2012-02-07,,     4.1,     6.9,   -13.0,    -3.4,   -13.8,    -9.5,      22,
318,2012-02-08,,     4.1,     6.9,    -8.1,    -1.5,   -13.5,    -8.3,      21,
318,2012-02-09,,     4.1,     6.9,    -4.7,     0.5,    -8.9,    -4.3,      21,
318,2012-02-10,,     4.1,     6.9,    -4.7,     0.0,    -5.8,    -3.7,      21,
318,2012-02-11,,     4.2,     7.1,    -4.4,     3.6,    -5.1,    -1.4,      21,
318,2012-02-12,,     4.3,     7.1,    -4.2,     4.8,    -5.2,    -2.3,      22,
318,2012-02-13,,     4.3,     7.1,    -6.1,    -0.4,    -8.1,    -4.3,      22,
